VERS;TÝP;TARÝH;KULLANICI;NOT
v2.0.18;Bilgi;20.10.2017 0622;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0632;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0642;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0652;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0703;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0713;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0723;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0733;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0733;Salih;1 sipariþ taþýndý
v2.0.18;Bilgi;20.10.2017 0743;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0743;Salih;1 sipariþ taþýndý
v2.0.18;Bilgi;20.10.2017 0753;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0803;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;20.10.2017 0814;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0834;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0834;Salih;1 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 0844;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0854;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0904;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0914;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0925;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0935;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0945;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 0955;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1005;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1015;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1015;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1026;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1036;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1047;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1051;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1051;Salih;1 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1106;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1106;Salih;3 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1121;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1121;Salih;2 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1137;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1152;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1207;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1222;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1222;Salih;1 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1237;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1253;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1308;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1323;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1323;Salih;1 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1339;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1354;Salih;çalýþtýrma baþladý
